AR_U_(1),AR_U_(2),AR_U_(3),AR_U_(4),mu(U),loglik_U,Logpost_U,MA_U,measerr_scale_U,SIGMA_U,var_U,L_5100,L_3000,L_UV,L_H_beta,MG_II,0II_5007,OIII_4959
0.411784390134,0.240217125942,0.00460974299818,1.16951640935e-05,18.7277636658,106.092217615,106.092217615,5.75916074762e-26,1.19585864705,6.49725796337e-05,0.0359107940642,45.32733,45.48131,2.66e45,43.32896,43.40307,42.46937,42.26057
1.07652909635,2.17564225499,0.203475960506,0.000692353993759,19.3099642977,114.110141926,114.110141926,1.40470717218e-33,1.17050632212,0.00384668506534,0.0482230158145,44.51848,44.56355,3.99e43,42.77419,42.88364,42.14843,41.77629
0.34489344148,0.0552224916228,0.000411211824809,1.04384113218e-06,20.3184595581,67.1157424766,67.1157424766,7.38584100393e-37,1.03201328106,1.90244151591e-05,0.404977353491,44.32612,44.48522,3.69e44,42.49316,42.96359,42.26489,41.71549
0.290590871765,0.0604432454283,0.000899954136663,5.7597966199e-06,20.2199174928,71.6722330187,71.6722330187,7.38584100393e-37,0.917479121549,1.46565917582e-05,0.0251068232939,44.69770,44.94271,3.47e45,42.94092,43.16836,42.23722,41.18078
0.319684970944,0.0707385271941,0.000849526639345,4.60100034489e-06,19.6309185575,90.909547311,90.909547311,2.26583738074e-24,0.877315078445,1.95916510827e-05,0.0890014765539,44.30242,44.85158,5.48e43,42.53794,43.45705,41.93680,42.12107
0.50294939327,0.205222857821,0.00695332390957,0.00695332390957,20.5587413392,38.1239400537,38.1239400537,2.51121132555e-10,0.888913731108,0.000285524572728,0.242631053927,44.83574,44.44037,1.28e45,42.97453,42.68371,42.56680,42.05108
1.19595800775,1.02310405814,0.0486013523899,0.0486013523899,20.7672055443,41.8833005655,41.8833005655,2.04022205645e-28,0.958356262121,0.000837548999166,0.106573803141,44.57033,45.03819,6.45e44,42.60063,43.23716,42.09058,41.75146
0.763753555315,0.649839115457,0.0597429081859,0.000312295462841,19.4911270617,82.6870479573,82.6870479573,9.67520369292e-28,1.05762410005,0.00142789214727,0.0513935059997,44.30397,45.01922,9.77e43,43.24299,43.23716,42.77714,42.05108
1.24410301871,1.26585074078,0.119858060709,0.119858060709,19.3345356346,85.5219771552,85.5219771552,2.79586428318e-32,1.1882577363,0.00193219004926,0.0296868582559,44.43193,44.83776,3.95e44,42.59860,42.99633,41.67878,41.75146
1.19381606994,0.636987213481,0.232605053892,0.000987220060024,18.0126934606,114.461894701,114.461894701,7.9872011432e-39,1.1114641908,0.00217860696119,0.0117392831605,44.75459,44.34770,5.36e44,42.46524,42.74858,42.64946,42.27146
0.570942676518,0.225056877951,0.00232066158459,4.42344546289e-06,20.4362059885,69.4326236976,69.4326236976,2.65784540763e-58,1.14255946334,2.32744079022e-05,0.0326707949887,44.69916,44.65749,2.81e43,43.46676,42.96205,42.07596,41.86849
0.153155494143,0.044261724984,0.000403391959675,1.99067805363e-06,20.1835955291,61.4131055867,61.4131055867,3.8530615946e-43,1.05021008072,4.56567293395e-06,0.0376400137764,44.88584,45.15750,2.01e45,42.78628,43.15557,42.64170,42.36900
0.394001219369,0.232791440342,0.00368585249093,3.09987386403e-05,20.3947774328,55.4930250011,55.4930250011,2.70835267832e-17,1.10785602703,9.23696260625e-05,0.0995614709784,44.43886,44.86974,8.19e45,43.07690,42.93223,42.35470,42.20851
0.740282374066,4.85363382929,2.28978353405,0.00774807020314,18.9928580027,113.929572134,113.929572134,1.89761958951e-15,1.01555057619,0.0303799984195,0.02632832122,44.10607,45.20451,1.66e44,42.46310,43.45330,41.79072,41.59024
0.649247162104,0.288245632415,0.0125152028778,3.62832893407e-05,19.9735430033,47.9972537228,47.9972537228,2.33938138357e-36,1.81337663913,0.000106653040178,0.0224374606578,44.28278,44.41496,7.28e44,42.56917,42.80388,42.43821,42.14885
0.881435616162,1.55234727321,0.0459657376703,0.000360186232795,20.1412965975,65.13084136,65.13084136,1.77179782676e-16,1.19906859494,0.000248237731876,0.0405070735306,45.03406,44.07756,1.18e45,42.51944,42.61017,41.49444,41.85274
0.383542809336,0.5239284335,0.0104818306814,0.0104818306814,19.0285361929,113.431623778,113.431623778,1.91573207388e-10,1.33338290193,0.00015401398495,0.0311942569966,44.28599,44.46839,1.78e44,42.79810,42.98336,41.62131,41.22986
0.87757053782,0.863101775652,0.0308469412235, 0.000149118625982,20.2434371479,64.8878193344,64.8878193344,2.52250022665e-12,1.06711122747,0.000769202764432,0.058584521809,44.51935,44.94597,1.57e45,42.05927,43.26494,42.24820,42.19560
0.366255634055,0.133561312347,0.00177035062082,7.01839963176e-06,20.2291402571,64.1025136273,64.1025136273,1.47804309411e-35,1.17218063822,2.7122507704e-05,0.0325523652015,44.25256,44.97579,2.07e45,43.25239,43.38464,42.40217,41.26026
0.411800196929,0.0708834379645,0.000879002418194,5.44929153588e-06,20.1092318646,93.7880915195,93.7880915195,8.76154917002e-42,1.0988616282,5.17719644029e-06,0.0271537087905,44.13888,45.31695,1.48e45,42.20292,42.59487,41.99311,41.90872
 0.543286517789,0.335052196376,0.0057007984304,3.86825010484e-05,19.9881354143,78.8440222151,78.8440222151,1.27276358655e-07,1.06965663464,9.95174578578e-05,0.0375471802525,44.97359,44.42739,1.12e45,44.17511,42.63465,41.82681,41.46316
0.478902159157,0.0808115387367,0.000962508867735,4.57109840234e-06,20.2342436937,57.3749111497,57.3749111497,3.72772099238e-33,1.59146396481,6.45578008834e-08,0.0217515947434,44.90593,44.67777,9.34e44,42.71012,42.81970,42.10764,42.01054
1.06512633716,0.790583529892,0.0372642978381,4.52523515721e-05,20.1892172837,74.3495281115,74.3495281115,4456.98327227,1.02758500853,0.0012371602294,0.119432336316,45.67979,44.66881,6.98e44,42.68983,42.33877,42.00149,41.62996
0.703083100766,0.504931654832,0.01114420065,0.000166080421032,20.165513043,69.092579013,69.092579013,1.54940222541e-29,1.38876840048,0.000137575590115,0.0200149052398,44.45743,43.97203,4.11e44,42.50119,43.42820,41.47306,41.89955
0.990204685116,1.29405331898,0.102498738182,0.703083100766,20.0450024892,71.4070876774,71.4070876774,4.28220305794e-27,1.0657064761,0.00160845751386,0.0244019553463,44.54183,45.32038,4.19e45,42.85803,42.99291,42.42153,41.72696
1.12124802359,1.01175509276,0.0604630348369,0.102498738182,20.1763801427,82.3451320683,82.3451320683,4.78444188148e-34,1.06565343506,0.000634027835286,0.0172108766886,44.59501,44.90722,2.81e44,43.04988,43.95267,42.32945,41.63567
0.792190458337,0.35492366331,0.00784790879589,0.000555918550765,20.2755378614,93.5223543183,93.5223543183,2.60924992122e-30,0.986571566991,8.5228740382e-05,0.0213605549121,44.69004,46.03777,2.93e45,42.98457,43.00252,41.22119,41.03894
